°íÀ¯¹øÈ£,¾ğ¾î,»óÈ£¸í,ÄÜÅÙÃ÷URL,ÁÖ¼Ò,½ÅÁÖ¼Ò,ÀüÈ­¹øÈ£,À¥»çÀÌÆ®,¿î¿µ½Ã°£,±³ÅëÁ¤º¸,È¨ÆäÀÌÁö ¾ğ¾î,´ëÇ¥¸Ş´º
28363,ko,ÄÚÅ°Æà È«´ëÁ¡,https://korean.visitseoul.net/restaurants/ÄÚÅ°Æà-È«´ëÁ¡/KOP028363?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP028363,121-893 ¼­¿ï ¸¶Æ÷±¸ ¼­±³µ¿ 364-2 ,"04041 ¼­¿ï ¸¶Æ÷±¸ ¿Í¿ì»ê·Î21±æ 19-8 (¼­±³µ¿, ÅÂ°æºôµù) 1Ãş COCKYPUB",02-322-7900,https://www.instagram.com/cockypubseoul/,"ÀÏ¿äÀÏ~¸ñ¿äÀÏ 17:00~02:00 (¶ó½ºÆ® ¿À´õ 01:00),  ±İ¿äÀÏ~Åä¿äÀÏ 17:00~04:00 (¶ó½ºÆ® ¿À´õ 02:00)","ÁöÇÏÃ¶ 2È£¼± / °æÀÇÁß¾Ó¼± / °øÇ×Ã¶µµ  È«´ëÀÔ±¸¿ª 9¹ø Ãâ±¸,   331m",,"¼öÁ¦¹ö°Å, ÇÁ¶óÀÌ, ¸Æ¾ØÄ¡Áî "
4672,zh-CN,éÚ?(Urang) ,https://chinese.visitseoul.net/restaurants/éÚ?Urang/CNP004668?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP004668,135-952 âÏ?Ë°Ñõ??ÓÁÔ× 57-2 ,06071 âÏ?ã¼Ë°Ñõ??ß£ÓŞÖØ94Ê¶20 ,-7370,,"ñ²ìéò¸ñ²çé 11:30 - 14:00, 17:00 - 24:00 ñ²×¿ 17:00 - 23:00","ò¢?7??  ?ÓÁó×  13?õóÏ¢,  727m",,ìíãÒñĞ? (ìíÜâ?Öù×â)
14366,ko,·¦24,https://korean.visitseoul.net/restaurants/·¦Æ®À¢Æ¼Æ÷1/KOP014364?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP014364, ¼­¿ï °­³²±¸ ½Å»çµ¿ 643-1 ,06017 ¼­¿ï °­³²±¸ ¾Ğ±¸Á¤·Î42±æ 23 (½Å»çµ¿) ,02-511-4523,https://www.instagram.com/labxxiv/,¸ÅÀÏ 11:30 ~ 22:30 (Break time 15:00~18:00),ºĞ´ç¼± ¾Ğ±¸Á¤·Îµ¥¿À¿ª 5¹ø Ãâ±¸  ,,
7023,ko,´ÃÇª¸¥¸ñÀå,https://korean.visitseoul.net/restaurants/´ÃÇª¸¥¸ñÀå-KR/KOP007019?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP007019,138-220 ¼­¿ï ¼ÛÆÄ±¸ Àá½Çµ¿ 203-7, 05563 ¼­¿ïÆ¯º°½Ã ¼ÛÆÄ±¸ ¹éÁ¦°íºĞ·Î9±æ 34 (Àá½Çµ¿) ,02-3431-4520,,12:00~24:00 ,"ÁöÇÏÃ¶ 2È£¼± Àá½Ç»õ³»¿ª 4¹ø Ãâ±¸,  411m",,"ÇÑ¿ì, µÈÀåÂî°³, °¥ºñ»ì, À°È¸, »ı°¥ºñ "
12853,zh-CN,?ÜØ(Hongbok),https://chinese.visitseoul.net/restaurants/?ÜØHongbok-CN/CNP012852?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP012852,03981 âÏ?÷å?ã¼Ø«øİ?æÅÑõÔ× 224-41,03981 âÏ?ã¼Ø«øİ?àò?ß£ÖØ189 ,-1941,,11:30 ~ 23:00 (KST),2?? ûğÓŞìıÏ¢ó×3?õóÏ¢  ,,
14321,zh-CN,Quater Bottle,https://chinese.visitseoul.net/restaurants/PattyVeggies-cn/CNP014318?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP014318,73,06049 âÏ?Ë°Ñõ??ß£ÓŞÖØß²ÖÃÊ¶27 ,-1228,https://www.instagram.com/quater_bottle/,18:00 - 02:00 (KST),7?? ?Ô×ó×8?õóÏ¢  ,,
5293,ja,«³«Ã«Á,https://japanese.visitseoul.net/restaurants/«³«Ã«Á/JPP005292?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP005292,135-881 «½«¦«ëã¼Ë°Ñõ?ß²à÷1Ô×160-18 ,135-881 «½«¦«ëã¼«««ó«Ê«à(Ë°Ñõ)?«İ«ó«¦«ó«µ«í610 (ß²à÷1Ô×),-9269,https://kkotji.modoo.at/,"11:30-15:00, 17:00-21:30 KST","ò¢ù»?9?àÊ¡¸«İ«ó«¦«ó«µ¡¹? 5ÛãõóÏ¢,  33m",ùÛ?åŞ,«±«¸«ã«ó(«««ËªÎ?êúò°ª±)ïÒãİ¡¢«Æ«Ï«°«¤(ÓŞïáú­ÖÕ?ª­)¡¢«ä«ó«Ë«ç«à«²«¸«ã«ó(Ú«Üõª±«±«¸«ã«ó)¡¢«±«µ«ë«Ó«Ó«ó«Ñ«×(«º«ï«¤«¬«Ë«Ó«Ó«ó«Ğ)¡¢«È«¥«¯«Ú«®¡¤«³«Ã«±«¿«ó(÷ÏÎ§«ï«¿«ê«¬«ËÎ§)
13370,ja,Petra,https://japanese.visitseoul.net/restaurants/Petra-JP/JPP013369?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP013369,140-200 «½«¦«ëã¼×£ß£?ì±÷ÁêÂÔ× 552,04345 «½«¦«ëã¼«è«ó«µ«ó«°(×£ß£?)«Î«Ã«µ«Ô«ç«ó«Ç«í40«®«ë33 ,-5143,,11:30 ~ 22:00 (KST),5?àÊ «Î«Ã«µ«Ô«ç«ó 1ÛãõóÏ¢  ,,«·«ê«¢ãÒ
3538,ja,Mamma KiKi,https://japanese.visitseoul.net/restaurants/Mamma-KiKi/JPP003537?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP003537,137-040 «½«¦«ëã¼ßúõ®?ÚïøİÔ×93-5 ,06577 «½«¦«ëã¼«½«Á«ç(ßúõ®)?«½«ì«í10«®«ë9 (ÚïøİÔ×),-8369,,18:00 ~ ìÎ1:00   (KST) ,"ò¢ù»?3 / 7 / 9?àÊ¡¸«³«½«¯«¿?«ß«Ê«ë(ÍÔáÜ÷éŞÍËÔ?)¡¹? 5ÛãõóÏ¢,   620m",,«ï«¤«ó«Ğ? 
2981,zh-CN,?õ½(ãæÊ¢),https://chinese.visitseoul.net/restaurants/?õ½ãæÊ¢/CNP002981?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP002981,  1364-5,06733 âÏ?ã¼ßúõ®?ßúéöÖØ11 ,-2732,,øÁìí 11:00 ~ 15:00 / 17:00 ~ 22:00 (KST) ñ²ØÇ 11:00 ~ 15:00 / 16:30 ~ 21:00 (KST),"ò¢?3??/ãæİÎÓĞ?  ÕŞî¦ó×  1?õóÏ¢,  440m",,"çéßäÍ±ô»â©Şã?? 9,000?? ?ŞŞ?£¨2~3ìÑ£© 20,000?? ÷ÏáÔ?ïÒãİ£¨?óÉ£© 38,000??"
